sample_id,label,period_days,depth_ppm,duration_hours,noise_ppm,crowdsap,centroid_shift_pix,secondary_depth_ppm,random_seed,true_period_days,true_depth_ppm,true_duration_hours,injected_label,tic_id,sector,candidate_id,epoch_time,duration_days,depth_fraction,snr,local_snr,sde,fap,n_transits,n_full_transits,n_in_transit_points,detection_method,flux_source,detrend_variant,periodogram_peak_power,period_uncertainty_rough,status,warnings,extra,fit_period_days,fit_period_err_days,fit_epoch_time,fit_epoch_err_days,fit_duration_days,fit_duration_err_days,fit_depth_fraction,fit_depth_err_fraction,fit_depth_ppm,fit_depth_err_ppm,fit_rp_over_rstar,fit_rp_earth,fit_stellar_radius_rsun,fit_snr,fit_n_in_transit_points,fit_n_events,fit_n_good_events,fit_event_depth_scatter_ppm,fit_method,fit_warnings,fit_extra,vet_odd_depth_ppm,vet_even_depth_ppm,vet_odd_even_sigma,vet_odd_even_depth_diff_ppm,vet_secondary_depth_ppm,vet_secondary_sigma,vet_secondary_phase,vet_secondary_to_primary_ratio,vet_centroid_shift_pix,vet_centroid_shift_sigma,vet_crowdsap,vet_flfrcsap,vet_crowding_risk,vet_corrected_depth_ppm,vet_v_shape_score,vet_transit_asymmetry,vet_out_of_transit_rms_ppm,vet_red_noise_proxy,vet_harmonic_risk,vet_data_quality_score,vet_warnings,vet_extra,class_predicted_class,class_confidence,class_planet_score,class_eb_score,class_blend_score,class_stellar_variability_score,class_systematic_score,class_evidence,class_warnings,class_extra,unc_period_days,unc_period_err_days,unc_epoch_time,unc_epoch_err_days,unc_duration_days,unc_duration_err_days,unc_depth_ppm,unc_depth_err_ppm,unc_snr,unc_effective_snr,unc_red_noise_beta,unc_detection_confidence,unc_parameter_confidence,unc_classification_confidence,unc_final_confidence,unc_confidence_level,unc_warnings,unc_method,unc_depth_err_source_formal_fit_ppm,unc_depth_err_source_residual_bootstrap_ppm,unc_depth_err_source_event_scatter_ppm,unc_depth_err_source_event_median_err_ppm,unc_stability_n_variants,unc_stability_depth_mad_ppm,unc_stability_snr_mad,unc_stability_period_cv_proxy,unc_stability_stability_score,detected,recovered_period,period_rel_error,period_alias_rel_error,depth_rel_error,duration_rel_error,pipeline_status,final_predicted_class,final_confidence
planet_000,PLANETARY_TRANSIT_CANDIDATE,0.6003135451505017,203.49530335994626,3.0,250.0,0.92,0.0,0.0,42,1.2,400.0,3.0,PLANETARY_TRANSIT_CANDIDATE,800042.0,1.0,1.0,0.39770772366220736,0.09,0.00020349530335994626,44.60972815717152,42.16187135337068,23.538253126297313,,45.0,45.0,2917.0,NUMPY_BOX_FALLBACK,PDCSAP,default,0.0001709832361971106,,STRONG_DETECTION,NUMPY_BOX_FALLBACK_USED,"{'n_phase_bins': 240, 'period_grid_min': 0.2, 'period_grid_max': 13.499305555555557}",0.5991129180602007,,0.4202077236622074,,0.12181134018651382,0.030452835046628456,9.100349330992685e-05,0.00011968477651307904,91.00349330992685,119.68477651307904,0.009539575111603601,,,,3946.0,46.0,45.0,274.676907915762,box_profile_grid_refinement,,"{'period_days_refined': 0.5991129180602007, 'epoch_time_refined': 0.4202077236622074, 'refinement_snr': 45.32436723992626, 'duration_days_profile': 0.12181134018651382, 'half_depth_width_days': 0.12181134018651382, 'duration_method': 'half_depth_profile', 'depth_fraction_bootstrap_err': 0.00011968477651307904, 'depth_ppm_bootstrap_err': 119.68477651307904}",367.64499811442477,23.29900209097069,9.081074672541522,344.34599602345406,88.8656789950204,29.859148828730163,0.49,0.9765084367956537,,0.0,0.92,0.95,0.07999999999999996,98.91684055426832,0.8426797705227038,0.115181112528522,,,0.0,1.0,SECONDARY_ECLIPSE_SIGNIFICANT;ODD_EVEN_DEPTH_MISMATCH,"{'primary_depth_ppm': 91.00349330992685, 'candidate_status': 'STRONG_DETECTION', 'candidate_snr': 42.16187135337068, 'candidate_sde': 23.538253126297313}",ECLIPSING_BINARY,0.8,0.39999836503820485,0.8,0.0,0.0,0.0,strong_transit_snr;significant_secondary_eclipse;odd_even_depth_mismatch,SECONDARY_ECLIPSE_SIGNIFICANT;ODD_EVEN_DEPTH_MISMATCH,"{'detection_strength': 0.9999959125955123, 'snr': 42.16187135337068, 'sde': 23.538253126297313, 'depth_ppm': 91.00349330992685, 'n_good_events': 45}",0.5991129180602007,,0.4202077236622074,,0.12181134018651382,0.038708183066176995,91.00349330992685,339.40806967821345,,,1.23566291849442,0.5499979102611897,0.2913997333165129,0.8500000000000001,0.5774191885863702,LOW,,robust_bootstrap_stability_uncertainty,119.68477651307904,,274.67690791576194,40.94641586327292,3.0,6.901913223757461,1.8512596414909792,0.0,0.9713324443883762,True,True,0.5007392349498327,0.001478469899665417,0.7724912667251829,0.025509278507889494,STRONG_DETECTION,ECLIPSING_BINARY,0.8
planet_001,PLANETARY_TRANSIT_CANDIDATE,0.6003135451505017,404.29191797530797,2.0,450.0,0.98,0.0,0.0,43,1.2,900.0,2.0,PLANETARY_TRANSIT_CANDIDATE,800043.0,1.0,1.0,0.3952064172240803,0.09,0.00040429191797530795,48.2603692642124,48.28640742963526,38.70828496213879,,45.0,45.0,2915.0,NUMPY_BOX_FALLBACK,PDCSAP,default,0.0003751978068659083,,STRONG_DETECTION,NUMPY_BOX_FALLBACK_USED,"{'n_phase_bins': 240, 'period_grid_min': 0.2, 'period_grid_max': 13.499305555555557}",0.6000133883779265,7.837923511211863e-05,0.39895641722408026,0.003526805449623673,0.07966982750246326,0.019917456875615816,0.00020033352671111615,0.0003208640379528782,200.33352671111615,320.8640379528782,0.014153922661619857,,,22.589799363887344,2602.0,45.0,45.0,521.3130848752103,box_profile_grid_refinement,,"{'period_days_refined': 0.6000133883779265, 'epoch_time_refined': 0.39895641722408026, 'refinement_snr': 49.37997917887377, 'duration_days_profile': 0.07966982750246326, 'half_depth_width_days': 0.07966982750246326, 'duration_method': 'half_depth_profile', 'depth_fraction_bootstrap_err': 0.0003208640379528782, 'depth_ppm_bootstrap_err': 320.8640379528782}",895.5683737635889,20.042521144514325,10.24942441721384,875.5258526190746,24.415603993466206,2.7443851986987364,0.325,0.1218747774987951,3.296757383425143e-05,1.7251606865109106,0.98,0.95,0.020000000000000018,204.4219660317512,1.0833581252623041,0.04516648490399811,447.46230718871567,0.007542820193226519,0.0,1.0,ODD_EVEN_DEPTH_MISMATCH,"{'primary_depth_ppm': 200.33352671111615, 'candidate_status': 'STRONG_DETECTION', 'candidate_snr': 48.28640742963526, 'candidate_sde': 38.70828496213879}",PLANETARY_TRANSIT_CANDIDATE,0.7372748119644494,0.7372748119644494,0.35,0.0,0.0,0.0,strong_transit_snr;odd_even_depth_mismatch;clean_transit_like_signal,ODD_EVEN_DEPTH_MISMATCH,"{'detection_strength': 0.9996946602907789, 'snr': 22.589799363887344, 'sde': 38.70828496213879, 'depth_ppm': 200.33352671111615, 'n_good_events': 45}",0.6000133883779265,8.770469912383743e-05,0.39895641722408026,0.003946420380156647,0.07966982750246326,0.022287211148323667,200.33352671111615,551.7551612884445,22.589799363887344,21.343448723887466,1.0583949977402185,0.9996546663529592,0.28282765131815957,0.802956108973337,0.7157620667596515,MEDIUM,,robust_bootstrap_stability_uncertainty,320.8640379528782,22.12523269920695,521.3130848752103,77.7127663560725,3.0,28.031603286158354,3.8165705030880983,0.0,0.9427588377271985,True,True,0.4999888430183946,2.2313963210877457e-05,0.7774071925432042,0.04396206997044083,STRONG_DETECTION,PLANETARY_TRANSIT_CANDIDATE,0.7372748119644494
planet_002,PLANETARY_TRANSIT_CANDIDATE,1.2,1800.0,3.0,250.0,0.85,0.0,0.0,44,1.2,1800.0,3.0,PLANETARY_TRANSIT_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,NO_STRONG_DETECTION,NO_SIGNIFICANT_SIGNAL,0.0
planet_003,PLANETARY_TRANSIT_CANDIDATE,0.6003135451505017,337.9226489514941,2.0,250.0,0.98,0.0,0.0,45,1.2,3500.0,2.0,PLANETARY_TRANSIT_CANDIDATE,800045.0,1.0,1.0,0.3927051107859532,0.09,0.00033792264895149415,74.07142518178539,72.2605706167772,261.93332815234,,45.0,45.0,2916.0,NUMPY_BOX_FALLBACK,PDCSAP,default,0.001546271375657262,,STRONG_DETECTION,NUMPY_BOX_FALLBACK_USED,"{'n_phase_bins': 240, 'period_grid_min': 0.2, 'period_grid_max': 13.499305555555557}",0.6000133883779265,9.183707364029325e-05,0.3964551107859532,0.004132363518587057,0.07966982750246326,0.019917456875615816,9.463976684975783e-05,0.001672469555410495,94.63976684975783,1672.4695554104949,0.009728297222523469,,,19.27948186167902,2590.0,45.0,45.0,246.88235778822795,box_profile_grid_refinement,,"{'period_days_refined': 0.6000133883779265, 'epoch_time_refined': 0.3964551107859532, 'refinement_snr': 78.3792615075907, 'duration_days_profile': 0.07966982750246326, 'half_depth_width_days': 0.07966982750246326, 'duration_method': 'half_depth_profile', 'depth_fraction_bootstrap_err': 0.001672469555410495, 'depth_ppm_bootstrap_err': 1672.4695554104949}",3471.1914796017318,14.434566480980848,73.69839640716901,3456.756913120751,18.527584825012156,3.777057062043964,0.155,0.195769552712709,5.188810645518423e-05,2.621609681547997,0.98,0.95,0.020000000000000018,96.5711906630182,0.8991024548913203,0.5292469108694839,251.2128480602029,0.003909267174850292,0.0,1.0,ODD_EVEN_DEPTH_MISMATCH,"{'primary_depth_ppm': 94.63976684975783, 'candidate_status': 'STRONG_DETECTION', 'candidate_snr': 72.2605706167772, 'candidate_sde': 261.93332815234}",PLANETARY_TRANSIT_CANDIDATE,0.7363247628324171,0.7363247628324171,0.35,0.0,0.0,0.0,strong_transit_snr;odd_even_depth_mismatch;clean_transit_like_signal,ODD_EVEN_DEPTH_MISMATCH,"{'detection_strength': 0.9984064580778537, 'snr': 19.27948186167902, 'sde': 261.93332815234, 'depth_ppm': 94.63976684975783, 'n_good_events': 45}",0.6000133883779265,0.00011130164270517923,0.3964551107859532,0.005008204526150069,0.07966982750246326,0.024138897080372257,94.63976684975783,1965.681545508111,19.27948186167902,16.403647137772836,1.175316787769957,0.9959513387487077,0.29065019060739467,0.8022435721243129,0.7165632759877756,MEDIUM,,robust_bootstrap_stability_uncertainty,1672.4695554104949,544.2633982271925,246.88235778822795,36.80304896399349,3.0,13.027359280809467,2.893107228846007,0.0,0.9688339686913153,True,True,0.4999888430183946,2.2313963210877457e-05,0.9729600666143549,0.04396206997044083,STRONG_DETECTION,PLANETARY_TRANSIT_CANDIDATE,0.7363247628324171
planet_004,PLANETARY_TRANSIT_CANDIDATE,2.6908398364920108,371.5450889336669,3.0,800.0,0.98,0.0,0.0,46,2.7,400.0,3.0,PLANETARY_TRANSIT_CANDIDATE,800046.0,1.0,1.0,1.0427004366406543,0.09,0.0003715450889336669,11.877553173866183,11.570473986927576,8.324367475846316,,10.0,10.0,648.0,NUMPY_BOX_FALLBACK,PDCSAP,default,0.0003295365871665539,,STRONG_DETECTION,NUMPY_BOX_FALLBACK_USED,"{'n_phase_bins': 240, 'period_grid_min': 0.2, 'period_grid_max': 13.499305555555557}",2.695773042858913,0.0006514014502064044,1.0352004366406542,0.006523892832122575,0.09,0.0225,0.0004315406476454453,5.051300470988972e-05,431.5406476454453,50.51300470988972,0.020773556451543038,,,13.795444271686195,650.0,10.0,10.0,135.79615142382295,box_profile_grid_refinement,,"{'period_days_refined': 2.695773042858913, 'epoch_time_refined': 1.0352004366406542, 'refinement_snr': 12.840282289409025, 'duration_days_profile': 0.09, 'half_depth_width_days': nan, 'duration_method': 'fallback_initial', 'depth_fraction_bootstrap_err': 5.051300470988972e-05, 'depth_ppm_bootstrap_err': 50.51300470988972}",301.5825530263694,441.983811622193,0.9951290595435334,140.40125859582363,89.881121934976,2.8301047103969865,0.475,0.20827961960334848,9.57811458459121e-05,2.463209601527858,0.98,0.95,0.020000000000000018,440.3475996382095,0.8125308581603228,0.06000417217534556,798.6443409561733,0.0033414129792424746,0.0,1.0,,"{'primary_depth_ppm': 431.5406476454453, 'candidate_status': 'STRONG_DETECTION', 'candidate_snr': 11.570473986927576, 'candidate_sde': 8.324367475846316}",PLANETARY_TRANSIT_CANDIDATE,0.9033364793317465,0.9033364793317465,0.0,0.0,0.0,0.0,strong_transit_snr;clean_transit_like_signal,,"{'detection_strength': 0.9033364793317465, 'snr': 13.795444271686195, 'sde': 8.324367475846316, 'depth_ppm': 431.5406476454453, 'n_good_events': 10}",2.695773042858913,0.0008283737152344996,1.0352004366406542,0.008296299219820138,0.09,0.02861278338706559,431.5406476454453,156.68265556058344,13.795444271686195,11.956449375805015,1.1538077767135917,0.921383709268314,0.715198215838898,0.9275023594988099,0.8616695888201628,HIGH,,robust_bootstrap_stability_uncertainty,50.51300470988972,53.43410958707889,135.79615142382298,42.94251359843978,3.0,50.736047856188875,1.5681036394894756,0.0,0.8978413152409987,True,True,0.0015655396818841998,0.9968689206362316,0.07885161911361323,0.27999999999999997,STRONG_DETECTION,PLANETARY_TRANSIT_CANDIDATE,0.9033364793317465
planet_005,PLANETARY_TRANSIT_CANDIDATE,2.6908398364920108,570.8716457515361,2.0,800.0,0.85,0.0,0.0,47,2.7,900.0,2.0,PLANETARY_TRANSIT_CANDIDATE,800047.0,1.0,1.0,1.053912269292704,0.09,0.0005708716457515361,18.051484861149692,17.860882328394972,17.67043243010882,,10.0,10.0,648.0,NUMPY_BOX_FALLBACK,PDCSAP,default,0.0005668005988590112,,STRONG_DETECTION,NUMPY_BOX_FALLBACK_USED,"{'n_phase_bins': 240, 'period_grid_min': 0.2, 'period_grid_max': 13.499305555555557}",2.6962215161649947,0.00033860199124661415,1.012662269292704,0.003390590657446469,0.06712584687547707,0.016781461718869267,0.0007252837547236379,0.00013479911511049585,725.2837547236379,134.79911511049585,0.02693109271313806,,,19.797685317174523,483.0,10.0,10.0,291.6672272227765,box_profile_grid_refinement,,"{'period_days_refined': 2.6962215161649947, 'epoch_time_refined': 1.012662269292704, 'refinement_snr': 22.012248169685833, 'duration_days_profile': 0.06712584687547707, 'half_depth_width_days': 0.06712584687547707, 'duration_method': 'half_depth_profile', 'depth_fraction_bootstrap_err': 0.00013479911511049585, 'depth_ppm_bootstrap_err': 134.79911511049585}",691.0872808204571,759.4802286268188,0.32504506387176607,68.39294780636163,134.6497203700281,3.555767581268842,0.395,0.18565109102896563,5.9963088603054217e-05,1.3173890635635555,0.85,0.95,0.15000000000000002,853.2750055572211,1.014265733792005,0.18783071289562453,800.2452493853694,0.00609469091950876,0.0,1.0,,"{'primary_depth_ppm': 725.2837547236379, 'candidate_status': 'STRONG_DETECTION', 'candidate_snr': 17.860882328394972, 'candidate_sde': 17.67043243010882}",PLANETARY_TRANSIT_CANDIDATE,0.8862272166694816,0.8862272166694816,0.0,0.15,0.0,0.0,strong_transit_snr;moderate_crowding_risk;clean_transit_like_signal,,"{'detection_strength': 0.9985658779374441, 'snr': 19.797685317174523, 'sde': 17.67043243010882, 'depth_ppm': 725.2837547236379, 'n_good_events': 10}",2.6962215161649947,0.0003997243302795891,1.012662269292704,0.004002639130414665,0.06712584687547707,0.01981074748553965,725.2837547236379,309.06406552614925,19.797685317174523,18.683297820661107,1.0596461881200148,0.9985925322372448,0.6674908201795844,0.9146704125021112,0.8698892767126498,HIGH,,robust_bootstrap_stability_uncertainty,134.79911511049585,58.709113857956595,291.66722722277643,92.23327568498404,3.0,87.05340464671133,2.7018586132615643,0.0,0.8859358589412555,True,True,0.001399438457409427,0.9972011230851812,0.1941291614181801,0.19448983749427518,STRONG_DETECTION,PLANETARY_TRANSIT_CANDIDATE,0.8862272166694816
