feature,importance
vet_centroid_shift_pix,0.07659448352939796
vet_data_quality_score,0.056970160291973916
duration_days,0.051191788144161504
fit_duration_days,0.04862312018720233
snr,0.0458211815315981
sde,0.043461405694271725
class_systematic_score,0.040868206835056244
vet_centroid_shift_sigma,0.03349047746174743
fit_duration_err_days,0.03267371825031322
class_blend_score,0.03228867631471328
fit_snr,0.03142361933597703
vet_secondary_depth_ppm,0.03042063144480032
class_eb_score,0.02916569890413283
local_snr,0.02721512579872257
fit_rp_over_rstar,0.024801668859845222
vet_even_depth_ppm,0.024391060603141806
fit_depth_fraction,0.022938203005892565
class_planet_score,0.02275380529622892
vet_crowdsap,0.020116482941197864
vet_odd_depth_ppm,0.019694884921539587
vet_odd_even_depth_diff_ppm,0.01894161041704451
class_stellar_variability_score,0.01825488798993602
depth_fraction,0.0178270805953618
vet_corrected_depth_ppm,0.01762688628633531
vet_secondary_to_primary_ratio,0.017586828368327142
fit_depth_ppm,0.0174526804640378
class_confidence,0.016974249799418133
depth_ppm,0.016061981981318314
n_in_transit_points,0.015825671028130383
vet_crowding_risk,0.01581752286883393
vet_v_shape_score,0.015561889703739236
fit_n_in_transit_points,0.015509584425206177
vet_secondary_sigma,0.015206157548887902
vet_red_noise_proxy,0.013137830737991138
fit_rp_earth,0.005590215017058537
vet_odd_even_sigma,0.005399784460733589
fit_depth_err_ppm,0.005383783620564929
fit_period_days,0.0045346324524480255
fit_event_depth_scatter_ppm,0.004457677498262868
fit_depth_err_fraction,0.003773693138648063
period_days,0.0028266472392453825
vet_harmonic_risk,0.0028150945314736235
fit_epoch_err_days,0.002489330539958494
vet_out_of_transit_rms_ppm,0.0022888951861846163
n_transits,0.00209971816187551
fit_n_good_events,0.0018467517626361712
fit_period_err_days,0.0017786178938453037
vet_flfrcsap,0.00176435883530028
vet_transit_asymmetry,0.0015671731692893378
fit_n_events,0.0014814056769099446
vet_secondary_phase,0.0013484467951480825
n_full_transits,0.0012892045372078608
fit_stellar_radius_rsun,0.0
