target_key,tic_id,sector,candidate_id,period_days,epoch_time,duration_days,depth_fraction,depth_ppm,snr,local_snr,sde,fap,n_transits,n_full_transits,n_in_transit_points,detection_method,flux_source,detrend_variant,periodogram_peak_power,period_uncertainty_rough,status,warnings,extra,fit_period_days,fit_period_err_days,fit_epoch_time,fit_epoch_err_days,fit_duration_days,fit_duration_err_days,fit_depth_fraction,fit_depth_err_fraction,fit_depth_ppm,fit_depth_err_ppm,fit_rp_over_rstar,fit_rp_earth,fit_stellar_radius_rsun,fit_snr,fit_n_in_transit_points,fit_n_events,fit_n_good_events,fit_event_depth_scatter_ppm,fit_method,fit_warnings,fit_extra,vet_odd_depth_ppm,vet_even_depth_ppm,vet_odd_even_sigma,vet_odd_even_depth_diff_ppm,vet_secondary_depth_ppm,vet_secondary_sigma,vet_secondary_phase,vet_secondary_to_primary_ratio,vet_centroid_shift_pix,vet_centroid_shift_sigma,vet_crowdsap,vet_flfrcsap,vet_crowding_risk,vet_corrected_depth_ppm,vet_v_shape_score,vet_transit_asymmetry,vet_out_of_transit_rms_ppm,vet_red_noise_proxy,vet_harmonic_risk,vet_data_quality_score,vet_warnings,vet_extra,class_predicted_class,class_confidence,class_planet_score,class_eb_score,class_blend_score,class_stellar_variability_score,class_systematic_score,class_evidence,class_warnings,class_extra,unc_period_days,unc_period_err_days,unc_epoch_time,unc_epoch_err_days,unc_duration_days,unc_duration_err_days,unc_depth_ppm,unc_depth_err_ppm,unc_snr,unc_effective_snr,unc_red_noise_beta,unc_detection_confidence,unc_parameter_confidence,unc_classification_confidence,unc_final_confidence,unc_confidence_level,unc_warnings,unc_method,unc_depth_err_source_formal_fit_ppm,unc_depth_err_source_residual_bootstrap_ppm,unc_depth_err_source_event_scatter_ppm,unc_depth_err_source_event_median_err_ppm,unc_stability_n_variants,unc_stability_depth_mad_ppm,unc_stability_snr_mad,unc_stability_period_cv_proxy,unc_stability_stability_score
tic_910001_s1_00000,910001,1,1,2.998451068804276,0.9994836896014252,0.07090909090909091,0.0014704429358924909,1470.4429358924908,103.41184062626897,100.27001135828435,89.92097872545632,,9,9,460,NUMPY_BOX_FALLBACK,PDCSAP,default,0.0014191031107481165,,STRONG_DETECTION,NUMPY_BOX_FALLBACK_USED,"{'n_phase_bins': 240, 'period_grid_min': 0.2, 'period_grid_max': 13.499305555555557}",2.997951326959475,7.669294296195024e-05,1.0083473259650615,0.0006906726348010219,0.07463779237243506,0.018659448093108766,0.001498742363374106,3.472457169621304e-05,1498.742363374106,34.72457169621304,0.038713594038452516,,,108.0653678916028,483,9,9,80.6477617623626,box_profile_grid_refinement,,"{'period_days_refined': 2.997951326959475, 'epoch_time_refined': 1.0083473259650615, 'refinement_snr': 104.29526567963978, 'duration_days_profile': 0.07463779237243506, 'half_depth_width_days': 0.07463779237243506, 'duration_method': 'half_depth_profile', 'depth_fraction_bootstrap_err': 3.472457169621304e-05, 'depth_ppm_bootstrap_err': 34.72457169621304}",1509.5260326623006,1444.3461932929224,1.0713011952037201,65.1798393693781,45.80621810856833,3.410779328348454,0.735,0.030563103591363883,2.2177794676247148e-05,0.490307406551355,0.95,0.95,0.050000000000000044,1577.6235403937958,1.0284173421661353,0.04133358832412413,301.93908184382855,0.005834972108654168,0.0,1.0,,"{'primary_depth_ppm': 1498.742363374106, 'candidate_status': 'STRONG_DETECTION', 'candidate_snr': 100.27001135828435, 'candidate_sde': 89.92097872545632}",PLANETARY_TRANSIT_CANDIDATE,0.9999999999999999,0.9999999999999999,0.0,0.0,0.0,0.0,strong_transit_snr;clean_transit_like_signal,,"{'detection_strength': 0.9999999999999999, 'snr': 108.0653678916028, 'sde': 89.92097872545632, 'depth_ppm': 1498.742363374106, 'n_good_events': 9}",2.997951326959475,8.23388387506525e-05,1.0083473259650615,0.0007415178047683504,0.07463779237243506,0.020033098592616372,1498.742363374106,85.21804038743458,108.0653678916028,102.26977767690049,1.0566696275903937,0.9999999999999999,0.9553866988190918,0.9999999999999999,0.9866160096457273,HIGH,,robust_bootstrap_stability_uncertainty,34.72457169621304,16.914258367074368,80.64776176236269,26.882587254120896,3.0,35.80625319424559,1.5493893623000634,0.0,0.9839616281961533
tic_920001_s1_00001,920001,1,1,4.011223836562014,0.9610223775096491,0.14727272727272725,0.01772458484312378,17724.58484312378,935.4067501291798,925.1246362876396,525.4968316054561,,7,7,743,NUMPY_BOX_FALLBACK,PDCSAP,default,0.013634010625277216,,STRONG_DETECTION,NUMPY_BOX_FALLBACK_USED,"{'n_phase_bins': 240, 'period_grid_min': 0.2, 'period_grid_max': 13.499305555555557}",4.00320138888889,1.9047575070295886e-05,0.9917041956914674,0.00012846170401518286,0.09966476486860298,0.024916191217150746,0.01795211791134621,6.54770062556276e-05,17952.11791134621,65.4770062556276,0.1339855138115543,,,775.8324991300412,502,7,7,135.74586880659902,box_profile_grid_refinement,,"{'period_days_refined': 4.00320138888889, 'epoch_time_refined': 0.9917041956914674, 'refinement_snr': 937.6423799141926, 'duration_days_profile': 0.09966476486860298, 'half_depth_width_days': 0.09966476486860298, 'duration_method': 'half_depth_profile', 'depth_fraction_bootstrap_err': 6.54770062556276e-05, 'depth_ppm_bootstrap_err': 65.4770062556276}",17892.433252841733,18001.532761352857,1.1854807788616981,109.09950851112349,4936.190704774135,201.33884596716027,0.495,0.2749642537527192,3.155683979694e-05,0.71032798671464,0.95,0.95,0.050000000000000044,18896.966222469695,0.9993808181937481,0.0040106443277752426,1040.6827784755153,0.6681533982217251,0.0,1.0,SECONDARY_ECLIPSE_SIGNIFICANT,"{'primary_depth_ppm': 17952.11791134621, 'candidate_status': 'STRONG_DETECTION', 'candidate_snr': 925.1246362876396, 'candidate_sde': 525.4968316054561}",ECLIPSING_BINARY,0.65,0.5124999999999998,0.65,0.0,0.25,0.0,strong_transit_snr;significant_secondary_eclipse;very_deep_event;red_noise_or_quasiperiodic_variability,SECONDARY_ECLIPSE_SIGNIFICANT,"{'detection_strength': 0.9999999999999999, 'snr': 775.8324991300412, 'sde': 525.4968316054561, 'depth_ppm': 17952.11791134621, 'n_good_events': 7}",4.00320138888889,2.5362587435908323e-05,0.9917041956914674,0.00017105175793908755,0.09966476486860298,0.033176878210617294,17952.11791134621,180.28049802901327,775.8324991300412,584.1788645705676,1.328073551069601,0.9999999999999999,0.9921875973664513,0.5857142857142859,0.8526562792099354,HIGH,,robust_bootstrap_stability_uncertainty,65.4770062556276,32.86052213341792,135.74586880660289,51.30711576666735,3.0,85.62496759854182,0.723865038485331,0.0,0.9973906839855025
tic_930001_s1_00002,930001,1,1,3.504837452683145,0.9857355335671345,0.07090909090909091,0.0011215177772765372,1121.5177772765373,65.19329402309982,59.314200787351034,53.4893107047144,,8,8,408,NUMPY_BOX_FALLBACK,PDCSAP,default,0.0010742256095232156,,STRONG_DETECTION,NUMPY_BOX_FALLBACK_USED,"{'n_phase_bins': 240, 'period_grid_min': 0.2, 'period_grid_max': 13.499305555555557}",3.501916754805909,0.00012574385783085484,0.9916446244762254,0.0009694432377717254,0.058123099664828315,0.014530774916207079,0.0011392252055105745,3.3633399973051364e-05,1139.2252055105746,33.63339997305136,0.03375241036593645,,,59.955134452662556,335,8,8,81.07697998215643,box_profile_grid_refinement,,"{'period_days_refined': 3.501916754805909, 'epoch_time_refined': 0.9916446244762254, 'refinement_snr': 68.61164918405576, 'duration_days_profile': 0.058123099664828315, 'half_depth_width_days': 0.058123099664828315, 'duration_method': 'half_depth_profile', 'depth_fraction_bootstrap_err': 3.3633399973051364e-05, 'depth_ppm_bootstrap_err': 33.63339997305136}",1139.2252055105746,1132.3122291634902,0.07949198324791747,6.912976347084321,46.172151748513635,2.544910362932888,0.24,0.04052943309643534,0.03345688861948691,608.5743972988955,0.55,0.95,0.44999999999999996,2071.3185554737715,1.0319248767209035,0.03608053665077483,348.42507517334747,0.0059217231919615095,0.0,1.0,LOW_CROWDSAP_HIGH_CONTAMINATION_RISK;CENTROID_SHIFT_SIGNIFICANT,"{'primary_depth_ppm': 1139.2252055105746, 'candidate_status': 'STRONG_DETECTION', 'candidate_snr': 59.314200787351034, 'candidate_sde': 53.4893107047144}",BLEND_OR_CONTAMINATED_SIGNAL,0.8500000000000001,0.36249999999914445,0.0,0.8500000000000001,0.0,0.0,strong_transit_snr;significant_centroid_shift;high_crowding_risk,LOW_CROWDSAP_HIGH_CONTAMINATION_RISK;CENTROID_SHIFT_SIGNIFICANT,"{'detection_strength': 0.99999999999764, 'snr': 59.955134452662556, 'sde': 53.4893107047144, 'depth_ppm': 1139.2252055105746, 'n_good_events': 8}",3.501916754805909,0.00014080038174876995,0.9916446244762254,0.0010855240193571411,0.058123099664828315,0.016270684633038022,1139.2252055105746,89.09575450045095,59.955134452662556,54.55906696229184,1.0989032216056807,0.9999999999788173,0.9395665428854728,0.8875000000000001,0.9424949628582278,HIGH,,robust_bootstrap_stability_uncertainty,33.63339997305136,24.930692900230408,81.0769799821564,28.66504117175438,3.0,28.068352324970277,1.5297239128616018,0.0,0.9810388984274865
